name,description
LocoTalk,Loco gym talk Tanja was one of the first members to join Loco. Her journey and evolution with CrossFit is an important one! Always searching for the answer to getting the results you want? Listen in! Let’s talk about some tips to get you through this winter / holiday season Seen us running some assessments on people at the gym? This is why!
Logical Weight Loss Podcast,"Join Dave Jackson and he shares insights into geeky weight loss gadgets, insightful articles, and success stories on losing weight, feeling better, and living healthier. He's also pretty darn funny. Weigh In
 I am down to 224.8 ( a .6 lb loss). Not great, but its better than going up. 
 Brittany Runs a Marathon Review This is a fun comedy with some serious undertones. I really liked it. Ladies this has some other things that you will connect with that as a guy didn't connect as much, but I can still appreciate it. 
 I really love one part of the movie where her friends are not being supportive, and you finally start to see Britanny start to stick up for herself. 
 see https://amzn.to/2Gw1mhQ
 Super Size Me 2: Holy Chicken! This movie gives you a glimpse into ""Big Chicken"" and the lovely US government. I really loved the movie as it clues you into marketing jargon that tricks us into thinking things are healthy when they are not. This is not an ""anti-chicken"" in a ""we are killing chickens"" kind of way (the moviemakers seem to understand you need to kill them to eat them). You do see where these birds are raised and bred to gain so much weight so fast that they often have heart attacks - and that is seen as a good thing. 
 see https://amzn.to/36sqzUM
 Commit to 3 App CommitTo3 is a daily task management system that increases productivity through focused tasks and peer accountability. Accomplish more and achieve success — all with the help and support of your team.
 Each day you pick THREE things you need to get done by the end of the day. You can invite friends and family to be on your team and everyone can see everyone's tasks (so you might want to leave ""have ore sex"" off the list). This way you can see when someone if not hitting their marks on a consistent basis and offer support. To use the app you need to subscribe for $3/year (not a typo). 
 Commit to three on Apple
 https://podclick.me/committo3ios
 Commit to three on Android
 Click Here
 Become a Logical Loser Go to Logicallosers.com
 Just want to donate to the show? 
 see www.supportthisshow.com I started the year at 225.3 and after losing a few pounds, I'm back to 226. This is partly due to me going out of town for the weekend. I tried to do things like skip breakfast and I even exercised one day. None the less my scale went up when I got home. With this in mind, I got up today and exercised early. 
 MY NOT SO LUCKY GREEN SUIT
 I had to wear a suit to a speaking gig and I hadn't worn a suit in a while. To make a long story short none of my suits fit. I'm at least 20 lbs heavier than I was when I last wore a suit. 
 The fun part of this is there is only one person blame. I was not a fan of myself at that moment. I took that time and turned off my phone, TV, computer and just took some time to embrace how bad this felt. I DO NOT WANT TO FEEL THIS WAY. It hurt. 
 WHY CAN'T WE GET UP TO EXERCISE
 To get to Boston I had to get up at 5:30 AM which is EARLY for me (very early). Yet, when the alarm went off I got up in a slight panic, took a shower, finished packing, and got out the door on time.
 WHY? Because I had to. I had one shot to make my flight. If I missed my flight, I didn't have the money for another ticket or fee to get another ticket.
 WE NEED TO KEEP THE SENSE OF URGENCY
 We need to think of the opportunities we have to do the right thing as a plane. We have ONE SHOT to get it right and embrace that urgency and do the right thing. 
 NOTHING feels as good as watching the scale go down on a consistent basis. No taste gives you that feeling. 
 You're smart.
 You know the lies we tell ourselves.
 Quit listening to the lies. 
 You can do hard things (you do every day).
 Consider me your uber driver here to take you to the airport to catch the plan to onederland.  I started the year at 225.3 and after losing a few pounds, I'm back to 225. It's frustrating. I was doing good, but by skipping a few days and not really paying attention to my calories, and not exercising they came right back.
 The other thing that is killing me is a lack of sleep. My ears ring all the time and have for years, but for some reason, it's starting to affect my sleep. When I set an alarm to get up an exercise it takes an Olympic effort to get out of bed.
 It seems unfair that I can work for two weeks straight and lose two lbs, and stop for two days and gain it all back. The reason it seems unfair is because it is. You know what else it is? Reality. We have to find a way to deal with it.
 LOSING WEIGHT IS HARD BUT THESE MAKE IT EASIER
 STOP DRINKING YOUR CALORIES
 I started finding myself drinking the occasional coke, hot chocolate, etc. If you can stop drinking calories, you will be amazed at how that will boost your efforts.
 STAND INSTEAD OF SIT
 Standing desks have come down in price (they use to be around $1000 and now some are under $100 with electric desks coming in around $300).
 According to Jillian Michaels standing burns 1.5 the number of calories. If sitting burns sixty calories, standing burns ninety. 
 AVOID CHEAT DAYS
 The idea is to have a sustainable life. We try to be good Monday through Friday and then on the weekend we indulge and when we do WE GO ALL IN and erase all the work we did during the week. 
 BUT ITS SO HARD TO BE GOOD 100% of the TIME
 If we can be good 80% of the time we will make progress. You want a hamburger? Fine. Have a hamburger but skip the fries and the coke. You can have both. 
 You want 80% of the calories you consume in a day to be better view calories. The Noom app does this. There are green foods (eat as much as you like), Yellow Foods (Be cautious), and Red Foods (WARNING!). You want to avoid the Red foods, and keep the yellow food in check. You are looking for balance. 
 By using the 80/20 rule you are not depriving yourself 100%. Sure there will be things you have to postpone, but the ability to enjoy one item can take some of the dread of dieting, and the same of dieting, and make you feel a bit normal. 
 Become a LOGICAL LOSER
 Join our accountability club at www.logicallosers.com
   Weigh-in: I'm up 1.6 lb back to 225.3
 I skipped a workout (typically every other day) and said, ""I'll just end up doing two workouts back to back days."" In other words,"" I""ll do it tomorrow.""
 So I did and I'm here to tell you my body doesn't like it. In the long run this won't work. So this episode is for me to listen in the future to remind myself that as hard as it is getting on my exercise bike, getting off I always feel proud with a boost of momentum to start the day. 
 Building Self Discipline
 An article in Entrepreneur stated
 

  Know your weaknesses Remove temptations Set clear goals and have an execution plan Build your self-discipline Create new habits by keeping it simple Eat often and healthy Change your perception about willpower Give yourself a backup plan Reward yourself Forgive yourself and move forward  I didn't know ""captain obvious"" worked for Entrepreneur magazine. 
   I was reading an article and it had a great plan. 
 Track your feed for 10 days and look at those days where your weight maintains. Then take the average of those days and subtract 500 calories. 
 So if you had
 2100
 1900
 2200
 1950
 2300
 1876
 2400
 1911
 2145
 1978
 The average is 2076 
 Subtract 500 calories and you get 1576 calories per day.
 The key to this is to take the calories of the days you maintained. Guys don't want to go below 1500 calories and Women shouldn't go below 1200.
 ONE MEAL
 I had ""Christmas"" last weekend as my brother goes out of town and the meal put 2 lbs on me the next day. For me looking back, a strategy would've been to:
 Put the food away after the meal. 
 Get the cookies off the table 
 In general, out of sight out of mind. Especially if you keep telling yourself, ""OK, this is my last one..."" then you know you are having an issue. Get it out of sight. 
 
 Mentioned in this Episode
 What Is a Calorie Deficit, and How Much of One Is Healthy? 
 Healthy Wage 
 Noom App 
 Try the free CSS beautifier lets you easily beautify stylesheets for your websites. Weigh In First things, I'm down .3 lbs. Not a huge win, but not a loss.
  
 Currently, the Noom app is giving me Green, Yellow and Red foods.
  
 The Most Addictive Foods
 Interesting article on the most addictive foods (hint its not broccoli)
 Eat Yourself Sexy 
 I found an interesting show called Eat Yourself Sexy on Amazon Prime, and while the show has some ""meh"" reality TV isms, I liked that you can spot what OTHER PEOPLE are doing wrong. Watch an episode or two and then go into your kitchen and pretend you're on the show.
  
 I also thought it was interesting that in 8 weeks women were losing 2 dress sizes and those that exercised (in addition to changing their diet) lost 20 lbs in 8 weeks (amazing what a little focus can do).
 Rolling Your Muscles?
  
 I bought a Doeplex Muscle Roller Massage Stick and I'm not sure it really does anything. I tested by just rolling my right leg, and so far don't feel any large difference.
  
 Become a Logical Loser
 Get the show advertisement-free, and join our safe private Facebook group as we support each other and hold each other accountable. Go to www.logicallosers.com"
London Real,"London Real is a video talk show that introduces you to the most fascinating people in the world. It is broadcast from studios in Shoreditch, East London to television and online platforms including London Live TV, YouTube and iTunes and is hosted by Brian Rose.Tired of being spoon-fed from the mainstream media, we’ve set out to offer a fresh, unscripted and unedited look into the world of real people. From activists to scientists, authors to fighters, politicians to drug smugglers – we present their real stories, uncensored and uncut. Watch the full episode for free here:  https://londonreal.tv/steve-maxwell-how-to-defend-yourself-from-death-sparring-with-a-mma-pioneer/
 Steve Maxwell is the American fitness guru, author, physical educator, breathing coach and Brazilian Jiu-Jitsu black belt.
 Maxwell has been named one of the top 10 trainers in the USA by Men's Journal, and spends his time travelling around the world with just one duffle bag, teaching students like Joe Rogan about mobility, strength training, martial arts and more.
 He received his black belt in Jiu-Jitsu from the renowned Brazilian trainer Relson Gracie, and was the first American certified to teach Gracie Jiu-Jitsu.
 STEVE MAXWELL: 
 Instagram: https://www.instagram.com/stevemaxwellsc
 Facebook: https://www.facebook.com/stevemaxwellsc
 Website: https://www.maxwellsc.com/index.cfm? 💰 EARN YOUR FIRST $100k https://londonreal.link/balm3yt
 ReConnect NEW YORK Premiere Tickets: https://londonreal.link/reconnect-ny
 NEW MASTERCLASS EACH WEEK: http://londonreal.tv/masterclass-yt
 LATEST EPISODE: https://londonreal.link/latest
 FREE FULL EPISODES: https://londonreal.tv/episodes
 SUBSCRIBE ON YOUTUBE: http://bit.ly/SubscribeToLondonReal
 London Real Academy:
 BUSINESS ACCELERATOR: https://londonreal.tv/biz
 LIFE ACCELERATOR: https://londonreal.tv/life
 BROADCAST YOURSELF: https://londonreal.tv/by
 SPEAK TO INSPIRE: https://londonreal.tv/inspire
 TRIBE: Join a community of high-achievers on a mission to transform themselves and the world! https://londonreal.tv/tribe
 #LondonReal #Motivation #TransformYourself Steve Maxwell is the American fitness guru, author, physical educator, breathing coach and Brazilian Jiu-Jitsu black belt.
 Maxwell has been named one of the top 10 trainers in the USA by Men's Journal, and spend his time travelling around the world with just one duffle bag, teaching students like Joe Rogan about mobility, strength training, martial arts and more.
 He received his black belt in Jiu-Jitsu from the renowned Brazilian trainer Relson Gracie, and were the first American certified to teach Gracie Jiu-Jitsu.
 STEVE MAXWELL: 
 Instagram: https://www.instagram.com/stevemaxwellsc
 Facebook: https://www.facebook.com/stevemaxwellsc
 Website: https://www.maxwellsc.com/index.cfm? John Kent is the British tailor and co-founder of “Kent and Haste” on London’s notorious Savile Row. Kent has made clothes for many of the royal family including The Queen, Prince Charles and, Prince Philip and this has earned him a Royal Warrant for his services to the crown He is responsible for dressing the 50 Billion Dollar Man, Dan Pena who it is rumoured to have spent over 1 million pounds on suits with John. And John Kent is credited to have dressed some of the biggest names in the business including Sean Connery, John Hurt, Bert Lancaster, and Bing Crosby to name but a few. Do what you LOVE. Work from ANYWHERE. Become financially FREE! https://londonreal.tv/m/biz-enroll/ John Kent is the British tailor and co-founder of “Kent and Haste” on London’s notorious Savile Row.
 Kent has made clothes for many of the royal family including The Queen, Prince Charles and, Prince Philip and this has earned him a Royal Warrant for his services to the crown
 He is responsible for dressing the 50 Billion Dollar Man, Dan Pena who it is rumoured to have spent over 1 million pounds on suits with John.
 And John Kent is credited to have dressed some of the biggest names in the business including Sean Connery, John Hurt, Bert Lancaster, and Bing Crosby to name but a few.
 JOHN KENT:
 Tailor: https://www.kenthaste.co.uk/"
Longevity Post Podcast,"Longevity Post podcast discusses the latest scientific and lifestyle interventions to help improve your overall health and well-being. Anti-aging tips; what you need to know about direct and indirect antioxidants More in depth information on how your dental health can affect your overall health and your hair. Advice and tips on how to maintain your oral health. Learn how your dental health can affect your overall health and your hairline. Cavitations, root canals, dental implants, gum disease are all discussed. The next few Longevity Post podcasts will discuss what to do if you are doing everything ""right"" but are still losing your hair. This episode: methylation. What is it, why does it matter and what to do if you have methylation issues. 
www.longevitypost.com www.immortalhair.org Topics discussed in this episode:
- Hair loss and diet 
- Gluten 
- Non celiac gluten sensitivity
- Glyphosate 
- MSM 
www.longevitypost.com 
www.immortalhair.org Natural Hair Loss Solutions. More tips on natural supplements to help with hair loss. Why heavy metal toxicity can cause hair loss and what to do about it. 
www.longevitypost.com
www.immortalhair.org"
Looking Up with Max McCoy,"On the journey of trying to live a healthy, meaningful & intentional life. Sharing as I learn along the way. Episodes will touch on psychology, performance, entrepreneurship & more. My name’s Max McCoy. I’m a 24 year old freelance content creator from Los Angeles, CA. I felt let down by the traditional schooling and how it prepared me for the life I dreamed of living. Ever since, I have been on a mission to learn from people, books, and experiences that can help me become the fullest version of myself. I’m humbled to be sharing these conversations and perspectives along the way, while hopefully growing alongside you. Welcome to Looking Up!  Sad week it is. This episode is compiled of some of Kobe's former interviews where he shares insights on his wisdom. RIP to my first hero.
We grew up with Kobe. The local superhero. Completely invincible. The highest ideal of what actualized potential could look like.
It’s one of the reasons why this tragedy is so unfathomable. -
With friends and family we can remember countless memories centered around some classic/crazy Kobe moments.
Even as we got older, finding a fellow die hard Kobe fan was finding a friend. Cut from the same cloth.
Where I grew up, sports was like our religion and Kobe was a God-like figure. Losing someone who we associate with superhuman capabilities is a gut wrenching feeling that makes no sense.
I’m sick for the family and the people who knew him personally.. But I find some comfort knowing that we’ll all only further ingrain what he’s taught us into our being b/c of this.
I find some comfort in the quick exchanges and fist bumps with strangers wearing purple and gold, knowing that this single human and all he stood for is still bringing us closer together.
I’m comforted by the fact that Kobe has lit yet another fire under my ass to live out my potential while im still here breathing because tomorrow isn’t promised .
Coming from Southern California, from basketball, this hits the community deep. I’m comforted knowing the world mourns together on this one, and the legend lives on.
Check out my social media pages for even more content on the mind and body.
Follow: @maxwmccoy
Instagram: @maxwmccoy
Twitter: @MaxwMcCoy
I get so many questions from viewers about starting a podcast that I decided to create a podcast course. Click the link below and learn how to launch your very own podcast.
How to start a Podcast 101

Subscribe to the Podcast
iTunes
Spotify Michael Trainer is a true student of life. He helped build a massive and global charitable music festival that attracted some of the words greatest starts like Jay Z, Alicia keys, Beyonce, and he’s also personally interviewed some of the most influential people of our time: the Dali llama former President Carter no name only a couple. We talk about finding your true path, being a student of life and much more. Enjoy!
Check out my social media pages for even more content on the mind and body.
Follow: @maxwmccoy
Instagram: @maxwmccoy
Twitter: @MaxwMcCoy
I get so many questions from viewers about starting a podcast that I decided to create a podcast course. Click the link below and learn how to launch your very own podcast.
How to start a Podcast 101

Subscribe to the Podcast
iTunes
Spotify From building a million dollar business, to mastering health and performance at the highest level, to having a near death experience and then preparing for brain surgery, there's a lot of incredible life perspectives seeping out of this man. Blessed I was able to sit down with my friend and reflect on things like the meaning of life, living a life without regrets, and much more. Enjoy
Check out my social media pages for even more content on the mind and body.
Follow: @maxwmccoy
Instagram: @maxwmccoy
Twitter: @MaxwMcCoy
I get so many questions from viewers about starting a podcast that I decided to create a podcast course. Click the link below and learn how to launch your very own podcast.
How to start a Podcast 101

Subscribe to the Podcast
iTunes
Spotify I'm joined by my friend Justin Rezvani. We talk about Justin’s journey in building and selling a multi million dollar company before the age of thirty. Whatever your craft, I’m confident the lessons and perspectives discussed will apply. Enjoy!
Check out my social media pages for even more content on the mind and body.
Follow: @maxwmccoy
Instagram: @maxwmccoy
Twitter: @MaxwMcCoy
I get so many questions from viewers about starting a podcast that I decided to create a podcast course. Click the link below and learn how to launch your very own podcast.
How to start a Podcast 101

Subscribe to the Podcast
iTunes
Spotify For this solo episode, I break down the reflection &amp; intention setting exercise I use every new year to hit the ground running. Want a copy of the exact template i use for this?Email me at mccoy.maxwell@gmail.com and say ""I want the New Year's Template"" and i'll get you hooked up. Happy 2020!
Check out my social media pages for even more content on the mind and body.
Follow: @maxwmccoy
Instagram: @maxwmccoy
Twitter: @MaxwMcCoy
I get so many questions from viewers about starting a podcast that I decided to create a podcast course. Click the link below and learn how to launch your very own podcast.
How to start a Podcast 101

Subscribe to the Podcast
iTunes
Spotify A quick solo episode from da heart! I've found a lot of people in my circle have been in mental ruts lately, myself included. On this episode, i share specifically how i got out of this rut, and documented it for myself and whoever else may need it. Enjoy friends!
Check out my social media pages for even more content on the mind and body.
Follow: @maxwmccoy
Instagram: @maxwmccoy
Twitter: @MaxwMcCoy
I get so many questions from viewers about starting a podcast that I decided to create a podcast course. Click the link below and learn how to launch your very own podcast.
How to start a Podcast 101

Subscribe to the Podcast
iTunes
Spotify"
LoopPraat - Dé Nederlandse Podcast over Hardlopen,"LoopPraat is dé Nederlandse podcast voor hardlopers, door hardlopers. Elke maand bespreken hosts Anton-Jan Thijssen en Tim Baks samen met een spraakmakende gast het laatste loopnieuws, delen ze tips en geven ze reviews. Jelle de Boer, artiestennaam DJ Snelle Jelle, is een muzikaal multitalent. Draaien, optreden, producer, docent op de Herman Brood Academy; slechts enkele zaken waar hij zijn tijd mee vult. Lang ging het leven in de entertainmentindustrie en sporten niet samen. Totdat zijn vader ziek werd en hij zelf vader werd. In deze LoopPraat vertelt Jelle waarom hij juist toen z’n hardloopschoenen aantrok en waarom en hoe hij er inmiddels zoveel plezier aan beleeft. Gewoon een klein uurtje ouwehoeren over hardlopen, geniet ervan tijdens het lopen, of bij het uithijgen op de bank.







Show notes:







* DJ Snelle Jelle op Instagram* DJ Snelle Jelle website* Maandelijkse podcast op Mixcloud Nick Klaessens dronk graag. Veel. En vaak. Totdat hij het genoeg vond. Hij zocht hulp. En ging lopen. Dat laatste ging goed. Nick liep de halve marathon en werd toen uitgenodigd voor het Boost 2 Berlin-project van Runner’s World. Een project waarbij drie verschillende lopers gevolgd werden in aanloop naar en tijdens de Berlijn Marathon. Met Nick praten we over zijn hele traject van drinkend op de bank tot aan het leven als loper en schrijver nu. En wat was de rol van Eliud Kipchoge in dit geheel? No human is limited…







Shownotes:







* Runner’s World Boost 2 Berlin documentaire* Berlijn in plaats van Bier Na een succesvolle semi-comback (hier) zijn we terug in de studio. In deze vijfde aflevering neemt sportdiëtist, wetenschapper en auteur Saraï Pannekoek plaats achter de LoopPraat-microfoon. 







Anton-Jan en ik wilde Saraï al enige tijd geleden in de uitzending hebben, maar vanwege omstandigheden ging dat toen niet door. En misschien maar goed ook, want er zijn in de tussentijd meerdere dingen gebeurt die perfect zijn voor LoopPraat. Denk bijvoorbeeld aan de Netflix-docu Game Changers, waar Saraï als sportdiëtist gespecialiseerd in plantaardig eten natuurlijk meer context aan kan geven. En de fysieke en mentale misbruik van de Amerikaanse toploopster Mary Cain door Alberto Salazar gedurende haar tijd bij het nu opgedoekte Nike Oregon Project trainingsgroep. Maar we trappen LoopPraat-aflevering 5 af met advies van Saraï voor Anton-Jan om zijn neerwaartse spiraal te doorbreken. 







En wat betreft vochtinname: 40 ml / kg lichaamsgewicht.







Looppraat S02E05 – Shownotes







* The Game Changers* Mary Cain video* What The Health* Eet &amp; Ren van Scott Jurek* Eetmeter app* Testa Omega-3 * Arctic Blue







Luister LoopPraat-aflevering 5 met Saraï Pannekoek via onderstaande player of jouw favoriete podcast-app zoals Spotify of Apple Podcasts. Anton-Jan en Tim zijn terug en bespreken in deze aflevering waarom ze in hemelsnaam ruim vijf maanden geen nieuwe aflevering hebben gemaakt. Ook blikken ze terug op de afgelopen maanden en hebben ze het over Kipchoge en Sifan.







LoopPraat aflevering 4 bevat een ratjetoe aan onderwerpen maar uiteraard met hardlopen als gemene deler.







Show notes







* Anton Jan Thijssen op TEDxHaarlem * TV-aflevering Kennis van Nu * The Why van Billy Yang* Adharanand Finn – The Rise of the Ultra Runners* David Goggins – Can’t Hurt Me* LoopPraat S01EP07 – José Vincente* Man, man, man, de podcast * Boven het Maaiveld* Hardlooppodcast De pacer* El Tarangu* Billy Yang Podcast – Jason Koop In deze aflevering van LoopPraat is Leslie Pangemanan te gast. In zijn overvolle agenda wist Leslie een uur vrij te maken om met ons te praten over de dingen waarmee hij zo druk is. Naast een gezin en zijn werk als eigenaar van / trainer bij een sportschool in Amsterdam Buitenveldert is het deze periode extra druk voor Leslie rondom de stichting Run4Schools. Namens die stichting, die Leslie in 2004 oprichtte, loopt hij in het paasweekend de befaamde Two Oceans Marathon in Zuid-Afrika.







We hebben het met Leslie Pangemanan over dat bijzondere evenement, over de stichting Run4Schools en over waarom het zo ontzettend belangrijk is dat kinderen kunnen sporten. 







Genoeg gelezen, luisteren! Oh ja, normaal zeggen we op het einde van dit stukje tekst én op het einde van elke aflevering “blijf luisteren, en blijf lopen”. Maar dit keer willen we die graag aanvullen met “blijf geven”. 







Luisteren doe je via onderstaande player maar ook via jouw favoriete podcasts-app zoals:







* Spotify* Apple Podcasts







LoopPraat aflevering 3 (seizoen 2) download je via deze link.







Kijk hier voor all LoopPraat afleveringen. In aflevering 2 van seizoen 2 van LoopPraat schuift Sameena van der Mijden aan.







Toen we aankondigden dat Sameena onze volgende gast zou zijn, kwamen er meer vragen binnen dan ooit. En nog meer ‘zoveel respect voor haar’-berichten. Dat respect zal te maken hebben met haar bijzondere ultraprestaties van het afgelopen jaar maar zeker ook met de moeilijke periode die Sameena had toen ze slachtoffer werd van een loverboy. Na die vreselijke periode begon ze met lopen. In een hele korte tijd ging ze van “die eerste zware 200m op sneakers” naar 183km bij een 24-uurs-race in Athene. Lopen bracht Sameena eigenwaarde, rust, structuur, plezier en nog zoveel meer. 







In deze aflevering hebben we haar al jullie vragen laten beantwoorden en natuurlijk ook die van ons. Veel plezier met luisteren, en knoop het motto van Sameena in je oren: Let never, ever anyone tell you that you can’t do something.







LoopPraat luister je onder meer via Spotify, Apple Podcast en Soundcloud.







Shownotes:







* Aflevering 6 van Lauren! met Sameena* Favoriete rappers Sameena: Winne &amp; G Eazy* 100 km Winschoten* Spartathlon* Spijkernisse Marathon"
Loose weight,"Loose weight Are you constipated? Listen to this pod cast Loose weight just by this no workouts or killer gym

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app"
Lost &amp; Lifting Talk,"Lost & Lifting talk was created to be your main hub for all things fat loss, body transformation, and mindset.  If you have a fitness goal and aren't sure where to begin with your training and/or nutrition, tune in and listen to Chaz simplify complicated topics to help you get to your goals faster, but more importantly, easier.  Chaz can be found on Instagram @lostandlifting where you are free to ask questions in his DM and receive detailed answers in Q&A episodes.  You'll also find episodes including other coaches in the fitness space, people close to Chaz that have made an impact on his life, and mindset topics to help you adjust your outlook on your current situation.  So, buckle up and get ready to discuss all things nutrition, fitness, and life inside of Lost & Lifting Talk.  We're excited to have you! Learn the principles to a successful training program. How to create fat loss instead of weight loss - there's a difference! Q&amp;A!  I touch on how to find your maintenance, eat to stay full, fasted cardio &amp; more! How to build a diet that's individualized to you. Create an actionable plan proven by research and experience to add lean mass to your frame Finally conquer those resolutions you set every year"
Love And Muscle,"In our podcasts we will be talking about fitness, our personal lives, current news and relationships and much more. Our goal in this podcast is to give our professional and personal opinions and experience in fitness and in life to our listeners. We are passionate to help people and we like to have a good time and get into good conversations. We hope you enjoy our show and don’t forget to let us know how we do!! In the episode we are crazy!!!! And we talk about our client updates and how to survive thanksgiving!!! 
Please rate review and subscribe to keep hearing more of Love and Muscle!! In this episode we start out with updating you on our clients!!! We have some great updates as always!! 
Then we start to talk about Netflix movies and shows and we give your opinion on those!! 

We also chat about random stuff and Reggie makes an appearance once again with his toys!! 

Please rate, review and subscribe to help keep this podcast growing!! In this episode we talk about our client updates, life updates and then we get into flexibility and mobility. 

We have a lot of fun in this episode talking about the benefits and the types of stretches!! 

Take a listen, rate this episode and let us know how we’re doing!! In this episode we share our clients updates and also our pet peeves in the gym!! 
We also share our drink of choice tonight!! (No sponsorship). And the kitties go crazy at times too! It’s an eventful night so grab your drink of choice, take a listen, rate and subscribe! 
Let us know how we’re doing!!!! 

Love you guys!! In this Episode of Love and Muscle we talk about our clients and how they are doing. 
Zach has gained another client. 
We also talk about motivation and how we are motivated in life to do the things that we do. 

Please share this episode and subscribe to hear more of us from the couch at our Apartment of - LOVE AND MUSCLE This is the first episode about Zach Gunter and Sarah Gunter. We talk about who we are and what we are doing currently in life. 
We also discuss how we met! A very fun story! 
Listen up and rate us 5 stars and subscribe for updates on more episodes!"
Love to Live Healthy with Josephine,Listen to Josephine speak about the positive journey of Loving to Live Healthy.   Josephine has thousands of clients all over the world that follow her program and learn to Love to Live Healthy.  Each show will give you information on how you can reach your goals in every aspect of your life.  It will teach you how to  surround yourself with positive thoughts so that you can feel great and be the best you can be everyday.   Life is hard - Love to Live Healthy teaches you how to enjoy life even in the most difficult times.    Some shows include guest speakers. 2020 Mantra.  Just do it.  Don't think about it just do it. Have control over you day and you will have it over your life. Get through Halloween.  Now is the time to put the work in to lose the weight.  Thanksgiving is right around the corner! Make the time count.  Stay on your path from now until Thanksgiving and you will have the best results.  Hello Karen - Introducing Karen Rubinstein as part of our podcast team Hello August.   Get through the last month of the summer and feel your best going in to the Fall. About the detox and how to detox.
