reviews,ratings,reviews_comb,ratings_sum,ratings_count
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
"['I feel like I am friends with them These girls are super relatable and they sound like girls I would hang out with except the girls I hang out with don’t talk about the awesome stuff they talk about. And they should. So either I need to get new friends or I need to get my friends to listen to this too so we can start to make moves. Love this podcast!', 'All the way yes! Alex and Maria are incredibly relatable in the stories they share about their struggles and triumphs in the realm of entrepreneurship and life in general. Their stories are inspiring and their advice invigorating for those of us sitting at our corporate desks dreaming of bigger and better things ahead!', 'Super relatable and inspiring I got a lot out of the first episode and can’t wait to hear more. Alex and Maria have a way of a refreshing and empowering perspective at entrepreneurship. I am inspired by their realistic approach to following your dreams.', 'Great Women With Great Ideas! Poignant and Fun to listen to while staying on point. -Big Bird']","[5, 5, 5, 5]",I feel like I am friends with them These girls are super relatable and they sound like girls I would hang out with except the girls I hang out with don’t talk about the awesome stuff they talk about. And they should. So either I need to get new friends or I need to get my friends to listen to this too so we can start to make moves. Love this podcast! All the way yes! Alex and Maria are incredibly relatable in the stories they share about their struggles and triumphs in the realm of entrepreneurship and life in general. Their stories are inspiring and their advice invigorating for those of us sitting at our corporate desks dreaming of bigger and better things ahead! Super relatable and inspiring I got a lot out of the first episode and can’t wait to hear more. Alex and Maria have a way of a refreshing and empowering perspective at entrepreneurship. I am inspired by their realistic approach to following your dreams. Great Women With Great Ideas! Poignant and Fun to listen to while staying on point. -Big Bird,20,4
[''],[0], ,0,1
"['Awesome show, highly recommend! Amanda and her guests provide some incredibly actionable and compelling ideas, spotlighting the best tactics and insights on how to become the very best version of yourself and live a more productive, well-rounded life (all while building a business that sustains and nourishes you!). Highly recommend listening and subscribing to Accelerate Your Success if you want to grow into the leader you know you’re capable of becoming! 🙌', 'Timely, down-to-earth- wise advice Amanda, just listened to your 5 Success Tips episode and it was great! I love your transparency along with the wise advice from someone who is out there every day in the entrepreneurial trenches!', 'Working with Brandon... Love this podcast! You guys are so cute. Such a sweet love story.', 'So knowledgeable!! May God continue to bless your business, your marriage and your family.']","[5, 5, 5, 5]","Awesome show, highly recommend! Amanda and her guests provide some incredibly actionable and compelling ideas, spotlighting the best tactics and insights on how to become the very best version of yourself and live a more productive, well-rounded life (all while building a business that sustains and nourishes you!). Highly recommend listening and subscribing to Accelerate Your Success if you want to grow into the leader you know you’re capable of becoming! 🙌 Timely, down-to-earth- wise advice Amanda, just listened to your 5 Success Tips episode and it was great! I love your transparency along with the wise advice from someone who is out there every day in the entrepreneurial trenches! Working with Brandon... Love this podcast! You guys are so cute. Such a sweet love story. So knowledgeable!! May God continue to bless your business, your marriage and your family.",20,4
[''],[0], ,0,1
[''],[0], ,0,1
"['Bringing more knowledge to the fitness game! I appreciate the guests on this podcast and the knowledge and expertise they bring to the table! Def give it a listen!!', 'Amazing podcast! Makes me so motivated! This is a really well made podcast Anthony has some very impressive guests and I am learning a lot about fitness and motivational workout strategies. I recommend this podcast to anyone who wants to be informed and entertained.', 'Helluva time - Luke McCallion Spada man, had a hell of a time recording with you!']","[5, 5, 5]","Bringing more knowledge to the fitness game! I appreciate the guests on this podcast and the knowledge and expertise they bring to the table! Def give it a listen!! Amazing podcast! Makes me so motivated! This is a really well made podcast Anthony has some very impressive guests and I am learning a lot about fitness and motivational workout strategies. I recommend this podcast to anyone who wants to be informed and entertained. Helluva time - Luke McCallion Spada man, had a hell of a time recording with you!",15,3
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
[''],[0], ,0,1
